episode,name,score
0,agent-0,-0.009999999776482582
0,agent-1,0.0
0,mean,-0.004999999888241291
1,agent-0,0.0
1,agent-1,-0.009999999776482582
1,mean,-0.004999999888241291
2,agent-0,-0.009999999776482582
2,agent-1,0.0
2,mean,-0.004999999888241291
3,agent-0,0.0
3,agent-1,-0.009999999776482582
3,mean,-0.004999999888241291
4,agent-0,0.0
4,agent-1,-0.009999999776482582
4,mean,-0.004999999888241291
5,agent-0,0.10000000149011612
5,agent-1,0.09000000171363354
5,mean,0.09500000160187483
6,agent-0,0.0
6,agent-1,-0.009999999776482582
6,mean,-0.004999999888241291
7,agent-0,-0.009999999776482582
7,agent-1,0.10000000149011612
7,mean,0.04500000085681677
8,agent-0,0.0
8,agent-1,-0.009999999776482582
8,mean,-0.004999999888241291
9,agent-0,0.0
9,agent-1,-0.009999999776482582
9,mean,-0.004999999888241291
10,agent-0,0.0
10,agent-1,-0.009999999776482582
10,mean,-0.004999999888241291
11,agent-0,0.10000000149011612
11,agent-1,0.09000000171363354
11,mean,0.09500000160187483
12,agent-0,-0.009999999776482582
12,agent-1,0.0
12,mean,-0.004999999888241291
13,agent-0,0.09000000171363354
13,agent-1,0.10000000149011612
13,mean,0.09500000160187483
14,agent-0,-0.009999999776482582
14,agent-1,0.0
14,mean,-0.004999999888241291
15,agent-0,0.0
15,agent-1,-0.009999999776482582
15,mean,-0.004999999888241291
16,agent-0,0.0
16,agent-1,-0.009999999776482582
16,mean,-0.004999999888241291
17,agent-0,0.0
17,agent-1,-0.009999999776482582
17,mean,-0.004999999888241291
18,agent-0,0.0
18,agent-1,-0.009999999776482582
18,mean,-0.004999999888241291
19,agent-0,-0.009999999776482582
19,agent-1,0.0
19,mean,-0.004999999888241291
20,agent-0,0.0
20,agent-1,0.09000000171363354
20,mean,0.04500000085681677
21,agent-0,0.0
21,agent-1,-0.009999999776482582
21,mean,-0.004999999888241291
22,agent-0,0.0
22,agent-1,-0.009999999776482582
22,mean,-0.004999999888241291
23,agent-0,0.0
23,agent-1,-0.009999999776482582
23,mean,-0.004999999888241291
24,agent-0,0.0
24,agent-1,-0.009999999776482582
24,mean,-0.004999999888241291
25,agent-0,-0.009999999776482582
25,agent-1,0.0
25,mean,-0.004999999888241291
26,agent-0,-0.009999999776482582
26,agent-1,0.10000000149011612
26,mean,0.04500000085681677
27,agent-0,0.0
27,agent-1,-0.009999999776482582
27,mean,-0.004999999888241291
28,agent-0,-0.009999999776482582
28,agent-1,0.0
28,mean,-0.004999999888241291
29,agent-0,-0.009999999776482582
29,agent-1,0.0
29,mean,-0.004999999888241291
30,agent-0,0.0
30,agent-1,0.09000000171363354
30,mean,0.04500000085681677
31,agent-0,0.0
31,agent-1,-0.009999999776482582
31,mean,-0.004999999888241291
32,agent-0,0.09000000171363354
32,agent-1,0.0
32,mean,0.04500000085681677
33,agent-0,-0.009999999776482582
33,agent-1,0.0
33,mean,-0.004999999888241291
34,agent-0,0.0
34,agent-1,-0.009999999776482582
34,mean,-0.004999999888241291
35,agent-0,0.10000000149011612
35,agent-1,-0.009999999776482582
35,mean,0.04500000085681677
36,agent-0,0.0
36,agent-1,-0.009999999776482582
36,mean,-0.004999999888241291
37,agent-0,-0.009999999776482582
37,agent-1,0.10000000149011612
37,mean,0.04500000085681677
38,agent-0,-0.009999999776482582
38,agent-1,0.0
38,mean,-0.004999999888241291
39,agent-0,0.0
39,agent-1,-0.009999999776482582
39,mean,-0.004999999888241291
40,agent-0,0.0
40,agent-1,-0.009999999776482582
40,mean,-0.004999999888241291
41,agent-0,0.0
41,agent-1,-0.009999999776482582
41,mean,-0.004999999888241291
42,agent-0,-0.009999999776482582
42,agent-1,0.0
42,mean,-0.004999999888241291
43,agent-0,0.0
43,agent-1,-0.009999999776482582
43,mean,-0.004999999888241291
44,agent-0,0.0
44,agent-1,-0.009999999776482582
44,mean,-0.004999999888241291
45,agent-0,-0.009999999776482582
45,agent-1,0.0
45,mean,-0.004999999888241291
46,agent-0,-0.009999999776482582
46,agent-1,0.0
46,mean,-0.004999999888241291
47,agent-0,0.0
47,agent-1,-0.009999999776482582
47,mean,-0.004999999888241291
48,agent-0,-0.009999999776482582
48,agent-1,0.0
48,mean,-0.004999999888241291
49,agent-0,0.0
49,agent-1,-0.009999999776482582
49,mean,-0.004999999888241291
50,agent-0,-0.009999999776482582
50,agent-1,0.0
50,mean,-0.004999999888241291
51,agent-0,-0.009999999776482582
51,agent-1,0.10000000149011612
51,mean,0.04500000085681677
52,agent-0,0.0
52,agent-1,-0.009999999776482582
52,mean,-0.004999999888241291
53,agent-0,-0.009999999776482582
53,agent-1,0.0
53,mean,-0.004999999888241291
54,agent-0,0.0
54,agent-1,-0.009999999776482582
54,mean,-0.004999999888241291
55,agent-0,-0.009999999776482582
55,agent-1,0.0
55,mean,-0.004999999888241291
56,agent-0,-0.009999999776482582
56,agent-1,0.0
56,mean,-0.004999999888241291
57,agent-0,0.0
57,agent-1,-0.009999999776482582
57,mean,-0.004999999888241291
58,agent-0,0.0
58,agent-1,-0.009999999776482582
58,mean,-0.004999999888241291
59,agent-0,0.0
59,agent-1,-0.009999999776482582
59,mean,-0.004999999888241291
